Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Colombia,1.99,2.011,2.376,2.613,2.842,3.05,3.202,3.078,3.106,2.906,3.128,3.243,3.379,3.611,3.755,4.044,4.195,4.526,5.187,5.334,5.078
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0.112,0.112,0.13,0.129,0.114,0.107,0.104,0.119,0.115,0.113,0.112,0.118,0.119,0.12,0.128,0.12,0.126,0.125,0.123,0.121,0.124
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0.045,0.045,0.041,0.045,0.055,0.05,0.061,0.069,0.07,0.074,0.072,0.079,0.079,0.08,0.082,0.086,0.086,0.087,0.086,0.088,0.084
C™te d'Ivoire,0.012,0.027,0.037,0.073,0.082,0.087,0.1,0.093,0.092,0.091,0.107,0.121,0.145,0.195,0.184,0.204,0.202,0.164,0.156,0.162,0.16
Croatia,0.211,0.215,0.21,0.216,0.188,0.192,0.188,0.182,0.19,0.165,0.171,0.179,0.166,0.159,0.155,0.162,0.178,0.189,0.134,0.137,0.168
Cuba,0.06,0.071,0.073,0.085,0.113,0.101,0.12,0.13,0.138,0.134,0.151,0.158,0.142,0.14,0.145,0.172,0.162,0.169,0.172,0.165,0.161
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.003
Czech Republic,1.201,1.116,1.061,1.113,0.895,0.841,0.76,0.814,0.839,0.868,0.915,0.91,0.895,0.919,1.066,1.049,1.004,1.023,1.057,1.064,1.001
Democratic Republic of Congo,0.386,0.383,0.4,0.43,0.557,0.581,0.593,0.615,0.56,0.547,0.538,0.518,0.504,0.529,0.462,0.522,0.599,0.692,0.675,0.664,0.644
Denmark,0.556,0.595,0.615,0.709,0.817,0.84,0.982,1.145,1.118,1.179,1.184,1.285,1.301,1.219,1.12,1.092,0.968,0.953,0.856,0.789,0.714
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0.012,0.006,0.007,0.009,0.007,0.008,0.012,0.008,0.008,0.009,0.013,0.017,0.019,0.018,0.017,0.014,0.015,0.014,0.016,0.017,0.023
Ecuador,0.821,0.874,0.919,0.944,0.924,0.897,0.898,0.954,0.985,0.942,0.98,1.242,1.246,1.263,1.23,1.232,1.168,1.165,1.214,1.247,1.282
Egypt,2.481,2.522,2.599,2.649,2.513,2.477,2.594,2.547,2.691,2.667,2.85,2.858,3.129,3.19,3.249,3.762,3.923,3.886,3.848,3.873,3.713
El Salvador,0.016,0.017,0.02,0.024,0.02,0.021,0.024,0.02,0.022,0.022,0.026,0.025,0.028,0.032,0.032,0.037,0.032,0.038,0.037,0.036,0.035
Equatorial Guinea,0.009,0.01,0.01,0.034,0.105,0.166,0.204,0.336,0.363,0.471,0.46,0.739,0.79,0.761,0.831,0.927,0.91,0.873,0.84,0.85,0.802
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.005,0.01,0.011,0.014,0.012
Ethiopia,0.013,0.014,0.015,0.015,0.016,0.016,0.016,0.017,0.02,0.02,0.023,0.025,0.028,0.032,0.033,0.032,0.035,0.049,0.061,0.072,0.083
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0
Fiji,0.004,0.004,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.005,0.005,0.005
Finland,0.394,0.377,0.387,0.374,0.402,0.463,0.442,0.456,0.443,0.418,0.415,0.477,0.463,0.447,0.47,0.497,0.441,0.458,0.461,0.495,0.475
France,4.849,4.878,4.979,5.04,4.937,4.79,4.937,5.041,5.155,5.141,5.159,5.188,5.139,5.176,5.101,5.148,4.803,5.091,5.089,5.079,5.154
French Guiana,0,0,0,0,0,0,0,0,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.006,0.005,0.005
French Polynesia,0,0,0.001,0.001,0.001,0.002,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.001
Gabon,0.683,0.718,0.796,0.805,0.808,0.768,0.724,0.69,0.592,0.553,0.531,0.528,0.584,0.523,0.536,0.546,0.532,0.54,0.537,0.491,0.537
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0.074,0.076,0.056,0.064,0.069,0.071,0.072,0.066,0.063,0.072,0.072,0.065,0.067,0.055,0.069,0.073,0.077,0.095,0.081,0.075,0.087
Germany,5.849,5.716,5.667,5.498,5.571,5.269,5.32,5.327,5.295,5.313,5.281,5.36,5.254,5.295,5.248,5.07,4.795,4.824,4.702,4.795,4.548
Ghana,0.068,0.065,0.071,0.081,0.08,0.05,0.065,0.082,0.083,0.066,0.054,0.068,0.069,0.068,0.049,0.073,0.079,0.083,0.238,0.246,0.29
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0.352,0.347,0.358,0.352,0.385,0.395,0.387,0.4,0.395,0.405,0.416,0.417,0.417,0.404,0.38,0.387,0.406,0.389,0.375,0.414,0.413
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.039,0.043,0.045,0.052,0.058,0.074,0.082,0.079,0.076,0.067,0.091,0.085,0.08,0.089,0.081,0.081,0.072,0.081,0.081,0.082,0.085
Guinea,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.006,0.006,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.001
Honduras,0.023,0.019,0.017,0.021,0.021,0.019,0.022,0.023,0.02,0.016,0.018,0.015,0.019,0.022,0.023,0.024,0.029,0.031,0.033,0.036,0.036
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0.524,0.522,0.52,0.512,0.525,0.476,0.459,0.453,0.449,0.418,0.391,0.397,0.399,0.393,0.384,0.385,0.403,0.4,0.391,0.373,0.347
Iceland,0.048,0.049,0.051,0.052,0.056,0.063,0.073,0.078,0.082,0.085,0.085,0.086,0.086,0.098,0.118,0.161,0.163,0.165,0.166,0.166,0.165
India,7.503,7.979,9.476,9.189,9.411,9.456,9.595,9.833,10.235,10.083,10.645,11.238,11.943,12.612,13.261,13.874,14.934,15.709,16.148,16.178,14.902
Indonesia,6.315,6.652,6.95,7.434,7.412,7.414,7.666,7.443,6.988,7.851,7.987,8.076,8.47,8.879,9.698,9.589,10.949,13.777,15.798,16.957,15.999
Iran,8.833,9.162,9.347,9.646,9.84,9.896,9.996,10.398,10.672,10.444,11.356,12.056,13.115,13.124,12.996,13.357,14.259,14.607,14.785,13.631,13.032
Iraq,1.211,1.328,1.352,1.39,2.604,4.706,5.475,5.622,5.217,4.422,2.844,4.378,4.124,4.393,4.562,5.183,5.171,5.209,5.668,6.449,6.606
Ireland,0.103,0.106,0.107,0.103,0.092,0.074,0.06,0.056,0.04,0.044,0.036,0.044,0.039,0.043,0.044,0.051,0.054,0.047,0.06,0.058,0.06
Israel,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0,0,0,0.001,0.028,0.027,0.035,0.041,0.052,0.044,0.058,0.097,0.055,0.172
Italy,1.348,1.421,1.358,1.428,1.42,1.404,1.345,1.324,1.295,1.22,1.177,1.255,1.192,1.16,1.083,1.131,1.149,1.268,1.335,1.414,1.572
Jamaica,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.004
Japan,3.987,3.864,4.255,4.344,4.581,4.674,4.47,4.513,4.475,4.174,3.74,4.155,4.15,4.357,4.001,3.715,3.919,4.294,3.058,1.579,1.656
Jordan,0.008,0.011,0.011,0.01,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.011,0.012,0.01,0.008,0.009,0.009,0.009,0.007,0.006
Kazakhstan,3.261,2.608,2.326,2.41,2.472,2.428,2.626,3.383,3.687,3.984,4.161,4.652,4.864,5.137,5.285,5.553,5.574,5.825,6.085,6.486,6.216
Kenya,0.036,0.035,0.038,0.04,0.038,0.038,0.03,0.021,0.033,0.039,0.044,0.042,0.043,0.045,0.047,0.041,0.036,0.049,0.05,0.058,0.056
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,4.284,4.727,4.812,4.942,4.847,5.015,4.597,5.036,4.814,4.581,5.142,5.706,6.108,6.125,5.973,6.28,5.682,5.624,6.188,6.517,6.563
Kyrgyzstan,0.121,0.136,0.125,0.137,0.123,0.111,0.133,0.15,0.139,0.119,0.146,0.151,0.137,0.133,0.134,0.11,0.111,0.119,0.151,0.155,0.148
Laos,0.009,0.009,0.011,0.014,0.014,0.022,0.031,0.04,0.04,0.041,0.036,0.04,0.042,0.043,0.048,0.049,0.047,0.085,0.121,0.12,0.142
Latvia,0.029,0.034,0.03,0.019,0.03,0.031,0.028,0.029,0.029,0.025,0.023,0.032,0.034,0.027,0.028,0.031,0.034,0.035,0.03,0.039,0.033
Lebanon,0.007,0.008,0.007,0.008,0.009,0.008,0.003,0.005,0.003,0.007,0.014,0.011,0.01,0.007,0.006,0.004,0.006,0.008,0.008,0.009,0.011
Lesotho,0,0,0,0,0,0,0.002,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.005,0.006,0.006,0.007,0.006,0.005,0.005
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,3.169,3.205,3.228,3.276,3.386,3.26,3.068,3.298,3.207,3.112,3.301,3.609,3.99,4.223,4.366,4.465,4.273,4.306,1.323,3.527,2.484
Lithuania,0.138,0.089,0.124,0.145,0.127,0.153,0.114,0.102,0.139,0.166,0.177,0.17,0.116,0.097,0.109,0.11,0.118,0.013,0.013,0.016,0.017
Luxembourg,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.004
Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,0.066,0.067,0.072,0.071,0.075,0.083,0.079,0.062,0.061,0.061,0.066,0.066,0.064,0.063,0.056,0.062,0.065,0.071,0.072,0.063,0.06
Madagascar,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.013,0.014
Malawi,0.008,0.008,0.009,0.009,0.009,0.01,0.011,0.012,0.012,0.013,0.013,0.014,0.014,0.015,0.015,0.016,0.016,0.018,0.019,0.019,0.018
Malaysia,2.338,2.41,2.592,2.836,3.01,3.143,3.159,3.314,3.341,3.433,3.66,3.709,3.736,3.673,3.788,3.882,3.81,3.842,3.738,3.776,3.804
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.007
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0.033,0.028,0.025,0.019,0.018,0.015,0.016
Mauritius,0.001,0,0.001,0.001,0,0.001,0.003,0.005,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.006,0.005,0.005,0.006
Mexico,8.065,8.147,8.09,8.786,9.094,9.345,9.094,9.376,9.588,9.649,10.095,10.006,10.028,10.056,9.758,9.171,8.616,8.83,8.867,8.726,8.542
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0.007,0.005,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.003
Mongolia,0.071,0.064,0.07,0.046,0.042,0.044,0.043,0.045,0.045,0.048,0.047,0.061,0.1,0.118,0.142,0.167,0.256,0.513,0.693,0.636,0.189
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.023,0.03,0.028,0.044,0.029,0.03,0.041
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0.023,0.028,0.026,0.036,0.034,0.024,0.014,0.011,0.014,0.013,0.019,0.021,0.015,0.015,0.014,0.015,0.032,0.043,0.031,0.026,0.044
Mozambique,0.005,0.005,0.005,0.005,0.01,0.018,0.08,0.1,0.124,0.131,0.113,0.159,0.211,0.238,0.253,0.254,0.261,0.274,0.315,0.398,0.348
Myanmar,0.09,0.101,0.1,0.095,0.094,0.101,0.089,0.167,0.277,0.38,0.434,0.459,0.571,0.569,0.604,0.564,0.535,0.56,0.577,0.594,0.629
Namibia,0,0,0.012,0.009,0.006,0.01,0.012,0.014,0.014,0.015,0.015,0.016,0.016,0.016,0.015,0.015,0.014,0.012,0.014,0.015,0.012
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0.009,0.01,0.012,0.012,0.011,0.012,0.015,0.017,0.019,0.022,0.023,0.024,0.025,0.027,0.028,0.028,0.03,0.031,0.034,0.034,0.035
Netherlands,2.977,2.913,2.907,3.248,2.881,2.769,2.555,2.473,2.63,2.615,2.527,2.941,2.704,2.654,2.646,2.87,2.709,3.007,2.774,2.759,2.934
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.004,0.003,0.003,0.003,0.004,0.003,0.004,0.005,0.004,0.003,0.004,0.004,0.004
New Zealand,0.62,0.632,0.638,0.658,0.692,0.642,0.675,0.68,0.682,0.711,0.644,0.649,0.611,0.626,0.665,0.687,0.703,0.75,0.715,0.696,0.615
Nicaragua,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.004,0.004,0.006,0.007,0.007,0.009,0.008,0.008,0.012,0.01,0.013,0.012,0.016,0.019
Niger,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.005,0.005,0.004,0.005,0.006,0.006,0.021,0.049,0.043
Nigeria,4.451,4.37,4.525,4.564,4.85,4.899,4.891,5.178,5.454,5.154,5.708,5.899,6.523,6.325,6.275,5.899,5.714,6.376,6.661,7.052,6.553
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0.797,0.761,0.724,0.649,0.595,0.543,0.606,0.635,0.655,0.625,0.646,0.665,0.703,0.711,0.706,0.734,0.729,0.728,0.744,0.752,0.768
Norway,7.12,7.774,8.349,9.262,9.583,9.331,9.532,10.3,10.301,10.69,10.631,10.792,10.657,10.123,9.919,10.125,9.877,9.453,9.054,9.462,8.967
Oman,1.817,1.902,1.995,2.067,2.131,2.197,2.166,2.427,2.479,2.484,2.349,2.258,2.385,2.448,2.398,2.502,2.641,2.836,2.861,3.149,3.202
Pakistan,0.944,1.015,1.038,1.056,1.07,1.06,1.096,1.146,1.124,1.143,1.25,1.319,1.487,1.648,1.642,1.644,1.66,1.744,1.712,1.806,1.788
Palestinian Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0.024,0.025,0.025,0.031,0.03,0.022,0.032,0.035,0.026,0.034,0.029,0.038,0.037,0.036,0.037,0.039,0.038,0.041,0.04,0.051,0.061
Papua New Guinea,0.265,0.232,0.217,0.227,0.175,0.175,0.211,0.157,0.152,0.126,0.118,0.108,0.098,0.107,0.103,0.095,0.087,0.078,0.076,0.066,0.069
Paraguay,0.321,0.372,0.43,0.464,0.514,0.514,0.526,0.54,0.464,0.486,0.519,0.515,0.506,0.528,0.526,0.541,0.531,0.522,0.554,0.567,0.57
Peru,0.425,0.439,0.442,0.427,0.397,0.402,0.39,0.387,0.399,0.403,0.4,0.407,0.472,0.505,0.539,0.588,0.622,0.808,0.988,1.012,1.05
Philippines,0.164,0.171,0.159,0.167,0.159,0.167,0.213,0.227,0.23,0.302,0.355,0.402,0.405,0.387,0.419,0.442,0.467,0.496,0.507,0.523,0.488
Poland,3.682,3.742,3.593,3.833,3.839,3.361,3.507,3.06,3.077,3.081,3.078,3.049,2.98,2.912,2.737,2.667,2.519,2.507,2.575,2.708,2.329
Portugal,0.099,0.121,0.096,0.162,0.144,0.143,0.089,0.133,0.164,0.101,0.181,0.125,0.085,0.158,0.162,0.144,0.178,0.275,0.233,0.184,0.278
Puerto Rico,0.001,0,0,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.003
Qatar,1.446,1.443,1.507,1.655,1.9,2.308,2.371,2.829,2.744,2.807,3.14,3.701,4.225,4.476,5.109,5.907,6.564,8.101,9.528,9.554,9.622
Reunion,0.005,0.005,0.005,0.006,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.006,0.005,0.006,0.006,0.006,0.006
Romania,1.458,1.423,1.449,1.43,1.403,1.252,1.207,1.191,1.251,1.201,1.137,1.144,1.15,1.177,1.163,1.188,1.133,1.135,1.129,1.09,1.041
Russian Federation,44.687,42.303,41.418,39.946,38.741,39.065,40.809,41.695,42.829,44.163,47.164,49.864,51.051,52.143,52.608,52.616,50.164,53.922,54.856,55.6,54.544
Rwanda,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0,0,0.001,0,0,0,0,0,0,0.001,0.001,0.001,0.002
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,20.108,20.39,20.659,20.815,21.243,21.415,20.178,21.593,20.946,20.27,23.049,24.627,26.063,25.285,24.514,26.177,23.705,25.345,26.715,27.938,27.597
Senegal,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473,0.463,0.472,0.484,0.506,0.504,0.481,0.463
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001
Singapore,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.01,0.01,0.01,0.009,0.009,0.01,0.005,0.005,0.006,0.006,0.006,0.007
Slovakia,0.232,0.242,0.237,0.235,0.226,0.231,0.245,0.284,0.295,0.305,0.284,0.274,0.276,0.279,0.247,0.261,0.237,0.25,0.251,0.252,0.25
Slovenia,0.125,0.13,0.139,0.139,0.137,0.138,0.139,0.139,0.14,0.145,0.139,0.151,0.146,0.144,0.14,0.155,0.154,0.151,0.148,0.14,0.136
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,4.395,4.598,4.841,4.856,5.401,5.501,5.507,5.54,5.525,5.456,5.901,6.078,6.052,6.04,6.052,6.153,6.071,6.243,6.151,6.272,5.928
